Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
wm/concept/infrastructure/refugee_camps	wm/concept/infrastructure/refugee_camps	Asylum Seekers	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED																																																													
wm/concept/infrastructure/refugee_camps	wm/concept/infrastructure/refugee_camps	UNHCR Refugee Data - Country of Asylum in the East and Horn of Africa Region	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED																																																													
wm/concept/infrastructure/refugee_camps	wm/concept/infrastructure/refugee_camps	null	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED																																																													
wm/concept/infrastructure/refugee_camps_higher_temperatures	wm/concept/infrastructure/refugee_camps wm/concept/environment/higher_temperatures	P2: Public Services	null		DOJO/03da0495-a43e-4939-823f-e8fc8bcbc36d/No_Smoothing	DOJO/03da0495-a43e-4939-823f-e8fc8bcbc36d/Lowess(5)	DOJO/85f744c4-c2a7-4b4a-adad-42b40a378d0b/admin1																																																													
wm/concept/infrastructure/refugee_camps_overcrowding	wm/concept/infrastructure/refugee_camps wm/concept/population_demographics/population_density/overcrowding	Asylum Seekers	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF DEATHS	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF DEATHS																																																													
wm/concept/infrastructure/sanitation_infrastructure	wm/concept/infrastructure/sanitation_infrastructure	Food_Security_Data_Value	null		DOJO/UAZ_VUAZ-1651/VUAZ-1651	DOJO/UAZ_VUAZ-1655/VUAZ-1655	DOJO/UAZ_VUAZ-1665/VUAZ-1665																																																													
wm/concept/infrastructure/sanitation_infrastructure	wm/concept/infrastructure/sanitation_infrastructure	Fragile States Index	null		DOJO/UAZ_VUAZ-1651/VUAZ-1651	DOJO/UAZ_VUAZ-1655/VUAZ-1655	DOJO/UAZ_VUAZ-1665/VUAZ-1665																																																													
wm/concept/infrastructure/transportation/road_infrastructure	wm/concept/infrastructure/transportation/road_infrastructure	Distance To Road	DOJO/OECD/Road Fatalities		DOJO/UAZ_VUAZ-5856/VUAZ-5856	DOJO/UAZ_VUAZ-6044/VUAZ-6044	DOJO/WDI_railways_passengers_carried_million_passenger_km/railways_passengers_carried_million_passenger_km																																																													
wm/concept/infrastructure/transportation/road_infrastructure	wm/concept/infrastructure/transportation/road_infrastructure	Fragile States Index	DOJO/OECD/Road Fatalities		DOJO/UAZ_VUAZ-5856/VUAZ-5856	DOJO/UAZ_VUAZ-6044/VUAZ-6044	DOJO/WDI_railways_passengers_carried_million_passenger_km/railways_passengers_carried_million_passenger_km																																																													
wm/concept/innovation	wm/concept/innovation	Fragile States Index	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_medium_and_high_tech_exports_manufactured_exports/medium_and_high_tech_exports_manufactured_exports	DOJO/WDI_technical_cooperation_grants_bop_current_us/technical_cooperation_grants_bop_current_us	DOJO/WDI_investment_in_ict_with_private_participation_current_us/investment_in_ict_with_private_participation_current_us																																																													
wm/concept/innovation	wm/concept/innovation	null	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_medium_and_high_tech_exports_manufactured_exports/medium_and_high_tech_exports_manufactured_exports	DOJO/WDI_technical_cooperation_grants_bop_current_us/technical_cooperation_grants_bop_current_us	DOJO/WDI_investment_in_ict_with_private_participation_current_us/investment_in_ict_with_private_participation_current_us																																																													
wm/concept/innovation_information_technology	wm/concept/innovation wm/concept/information/information_technology	Environment_LandUse_Share in Land area	DOJO/0411a8a6-16d6-4f33-9bd6-2cb5ba417118/Individuals Using The Internet (% Of Population)		DOJO/WDI_ict_goods_exports_of_total_goods_exports/ict_goods_exports_of_total_goods_exports	DOJO/WDI_ict_goods_imports_total_goods_imports/ict_goods_imports_total_goods_imports	DOJO/OECD/information_and_communications_technology_ict																																																													
wm/concept/innovation_information_technology	wm/concept/innovation wm/concept/information/information_technology	Fragile States Index	DOJO/0411a8a6-16d6-4f33-9bd6-2cb5ba417118/Individuals Using The Internet (% Of Population)		DOJO/WDI_ict_goods_exports_of_total_goods_exports/ict_goods_exports_of_total_goods_exports	DOJO/WDI_ict_goods_imports_total_goods_imports/ict_goods_imports_total_goods_imports	DOJO/OECD/information_and_communications_technology_ict																																																													
wm/concept/intervention	wm/concept/intervention	FSI dataset	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high/cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/8525f386-90a6-454b-a721-3019dbf5642e/Readiness																																																													
wm/concept/intervention	wm/concept/intervention	X1: External Intervention	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high/cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/8525f386-90a6-454b-a721-3019dbf5642e/Readiness																																																													
wm/concept/intervention_ruling_party	wm/concept/intervention wm/concept/entity/ruling_party	Voting Age Population (VAP)	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/P3: Human Rights	0	Node Issue	N/A	2	Node Issue	N/A			0	Node Issue	N/A	1	Node Issue	N/A												"""Ruling party"" does not seem to be a parameterizable node. ""Intervention"" is vague. This concept combination could mean interventions taken by the ruling party or interventions to prevent actions by the ruling party. UAZ returns are: ""Fragile States Index/Factionalized Elites""; ""Fragile State Index (FSI) and Components 2007-2020 Djibouti/Factionalized Elites""; and ""Fragile State Index (FSI) and Components 2007-2020 Djibouti/Human Rights"""										? No idea what this might mean																									
wm/concept/intervention_voting	wm/concept/intervention wm/process/voting	X1: External Intervention	null		DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/07cc31fc-09db-41a2-aa91-aed193970a10/Total vote	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Total vote																																																													
wm/concept/perception	wm/concept/perception	Corruption Perceptions Index	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/E2: Economic Inequality																																																													
wm/concept/perception	wm/concept/perception	Fragile States Index	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/E2: Economic Inequality																																																													
wm/concept/perception	wm/concept/perception	null	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/E2: Economic Inequality																																																													
wm/concept/plan	wm/concept/plan	Fragile States Index	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/8525f386-90a6-454b-a721-3019dbf5642e/Readiness	DOJO/WDI_investment_in_ict_with_private_participation_current_us/investment_in_ict_with_private_participation_current_us	DOJO/WDI_net_oda_provided_total_constant_2015_us/net_oda_provided_total_constant_2015_us																																																													
wm/concept/plan	wm/concept/plan	null	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/8525f386-90a6-454b-a721-3019dbf5642e/Readiness	DOJO/WDI_investment_in_ict_with_private_participation_current_us/investment_in_ict_with_private_participation_current_us	DOJO/WDI_net_oda_provided_total_constant_2015_us/net_oda_provided_total_constant_2015_us																																																													
wm/concept/plan_innovation	wm/concept/plan wm/concept/innovation	null	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/8525f386-90a6-454b-a721-3019dbf5642e/Readiness	DOJO/WDI_investment_in_ict_with_private_participation_current_us/investment_in_ict_with_private_participation_current_us	DOJO/WDI_investment_in_water_and_sanitation_with_private_participation_current_us/investment_in_water_and_sanitation_with_private_participation_current_us																																																													
wm/concept/policy_making	wm/concept/policy_making	GDP Per Capita Growth (Annual %)	DOJO/9437b74a-3641-4d6e-a14d-1188cd660393/Sigi Value 2019 Sort Icon		DOJO/UAZ_VUAZ-6972/VUAZ-6972	DOJO/UAZ_VUAZ-6976/VUAZ-6976	DOJO/WDI_cpia_debt_policy_rating_1_low_to_6_high/cpia_debt_policy_rating_1_low_to_6_high																																																													
wm/concept/policy_making	wm/concept/policy_making	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	DOJO/9437b74a-3641-4d6e-a14d-1188cd660393/Sigi Value 2019 Sort Icon		DOJO/UAZ_VUAZ-6972/VUAZ-6972	DOJO/UAZ_VUAZ-6976/VUAZ-6976	DOJO/WDI_cpia_debt_policy_rating_1_low_to_6_high/cpia_debt_policy_rating_1_low_to_6_high																																																													
wm/concept/population_demographics	wm/concept/population_demographics/	GDP Per Capita Growth (Annual %)	null		DOJO/UAZ_VUAZ-7569/VUAZ-7569	DOJO/UAZ_VUAZ-8327/VUAZ-8327	DOJO/UAZ_VUAZ-7860/VUAZ-7860																																																													
wm/concept/population_demographics/age	wm/concept/population_demographics/age	GDP Per Capita Growth (Annual %)	DOJO/0f341aa6-3727-4fd9-812c-c0751dc6e597/Population age 20-24		DOJO/UAZ_VUAZ-8075/VUAZ-8075	DOJO/WDI_probability_of_dying_at_age_5_14_years_per_1_000_children_age_5/probability_of_dying_at_age_5_14_years_per_1_000_children_age_5	DOJO/UAZ_VUAZ-8335/VUAZ-8335																																																													
wm/concept/population_demographics/clan	wm/concept/population_demographics/clan	GDP Per Capita Growth (Annual %)	null		DOJO/UAZ_VUAZ-6959/VUAZ-6959	DOJO/UAZ_VUAZ-6960/VUAZ-6960	DOJO/UAZ_VUAZ-7970/VUAZ-7970																																																													
wm/concept/population_demographics/ethnic_identity	wm/concept/population_demographics/ethnic_identity	FSI dataset	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C3: Group Grievance	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C3: Group Grievance	DOJO/1407c329-b0bc-4a8b-83fe-9f0e17aaf4b4/ilocal																																																													
wm/concept/population_demographics/ethnic_identity	wm/concept/population_demographics/ethnic_identity	Fragile States Index	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C3: Group Grievance	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C3: Group Grievance	DOJO/1407c329-b0bc-4a8b-83fe-9f0e17aaf4b4/ilocal																																																													
wm/concept/population_demographics/ethnic_identity	wm/concept/population_demographics/ethnic_identity	GDP Per Capita Growth (Annual %)	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C3: Group Grievance	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C3: Group Grievance	DOJO/1407c329-b0bc-4a8b-83fe-9f0e17aaf4b4/ilocal																																																													
wm/concept/population_demographics/ethnic_identity	wm/concept/population_demographics/ethnic_identity	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C3: Group Grievance	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C3: Group Grievance	DOJO/1407c329-b0bc-4a8b-83fe-9f0e17aaf4b4/ilocal																																																													
wm/concept/population_demographics/gender_inequality	wm/concept/population_demographics/gender wm/concept/inequality	GDP Per Capita Growth (Annual %)	null		DOJO/UAZ_VUAZ-7900/VUAZ-7900	DOJO/UAZ_VUAZ-7282/VUAZ-7282	DOJO/UAZ_VUAZ-7283/VUAZ-7283																																																													
wm/concept/population_demographics/population_density	wm/concept/population_demographics/population_density/	GDP Per Capita Growth (Annual %)	null		DOJO/UAZ_VUAZ-7569/VUAZ-7569	DOJO/91acdef8-8594-4824-b6aa-bf5f22b54591/2019_Total_pop	DOJO/8077f0b2-c15c-4b0d-af81-91090d82e5f4/Density in Persons per Sq. Km																																																													
wm/concept/population_demographics/population_density/overcrowding	wm/concept/population_demographics/population_density/overcrowding	GDP Per Capita Growth (Annual %)	null		DOJO/4494cd84-e8dd-48e2-8b06-6b8a22a4cc64/fatalities	DOJO/UAZ_VUAZ-8383/VUAZ-8383	DOJO/UAZ_VUAZ-8381/VUAZ-8381																																																													
wm/concept/population_demographics/population_density/population_growth	wm/concept/population_demographics/population_density/population_growth	Food and Agriculture Organization of the United Nations (FAO) - Annual Population Data	DOJO/0f341aa6-3727-4fd9-812c-c0751dc6e597/Population age 20-24		DOJO/OECD/population_growth_rates	DOJO/UAZ_VUAZ-7569/VUAZ-7569	DOJO/ba29eec0-8703-480f-8c65-982dabf31d11/Population	2	Yes	2	3	BetterCoverage	3		1	2	yes	2	3	BetterCoverage (2 good and 1 not so good supplied)	3		1	"{""id"":""UAZ_VUAZ-8391"", ,""name"":""University of Arizona Indicators """	",""display_name"":""World Bank: Population growth[annual %]"", ,""description"":""World Bank: Population growth[annual %]"""		"{""id"":""UAZ_VUAZ-7862"", ,""name"":""University of Arizona Indicators """	",""display_name"":""WDI: Urban population growth[annual %]"", ,""description"":""WDI: Urban population growth[annual %]"""		"{""id"":""UAZ_VUAZ-7714"", ,""name"":""University of Arizona Indicators """	",""display_name"":""WDI: Rural population growth[annual %]"", ,""description"":""WDI: Rural population growth[annual %]"""		"The causemos-default (Population Model output/Population age 20-24) captures poplation but ignores growth. Presumably, growth can be inferred from the model, but the variable is restricted to ages 20-24. The first two UAZ matches are good.  The third ignores ""growth""  "	World Development Indicators	Population growth (annual %)		University of Arizona Indicators 	World Bank: Population growth[annual %]		International Demographic Overview Data Base - East Africa - US Census Bureau (EastAfricaDemographicData_1950-2100.xlsx)	Annual Population Growth Rate (%)																											
wm/concept/population_demographics/population_density/population_growth	wm/concept/population_demographics/population_density/population_growth	GDP Per Capita Growth (Annual %)	DOJO/0f341aa6-3727-4fd9-812c-c0751dc6e597/Population age 20-24		DOJO/OECD/population_growth_rates	DOJO/UAZ_VUAZ-7569/VUAZ-7569	DOJO/ba29eec0-8703-480f-8c65-982dabf31d11/Population																																																													
wm/concept/population_demographics/population_density/population_growth_surveillance_system	wm/concept/population_demographics/population_density/population_growth wm/concept/security/surveillance_system	Population	null		DOJO/WDI_population_growth_annual/population_growth_annual	DOJO/WDI_urban_population_growth_annual/urban_population_growth_annual	DOJO/WDI_urban_population/urban_population																																																													
wm/concept/population_demographics/religion	wm/concept/population_demographics/religion	GDP Per Capita Growth (Annual %)	null		DOJO/1407c329-b0bc-4a8b-83fe-9f0e17aaf4b4/countryname	DOJO/UAZ_VUAZ-6973/VUAZ-6973	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/population_demographics/tribe_men	wm/concept/population_demographics/tribe wm/concept/entity/people/men	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/UAZ_VUAZ-7858/VUAZ-7858	DOJO/UAZ_VUAZ-7857/VUAZ-7857	DOJO/UAZ_VUAZ-7283/VUAZ-7283																																																													
wm/concept/poverty	wm/concept/poverty	null	DOJO/91acdef8-8594-4824-b6aa-bf5f22b54591/Density In Persons Per Sq. Km		DOJO/WDI_rural_poverty_headcount_ratio_at_national_poverty_lines_of_rural_population/rural_poverty_headcount_ratio_at_national_poverty_lines_of_rural_population	DOJO/UAZ_VUAZ-7712/VUAZ-7712	DOJO/UAZ_VUAZ-7714/VUAZ-7714																																																													
wm/concept/regulations	wm/concept/regulations	Regulatory Quality: Estimate	null		DOJO/WDI_other_taxes_of_revenue/other_taxes_of_revenue	DOJO/WDI_other_taxes_current_lcu/other_taxes_current_lcu	DOJO/UAZ_VUAZ-7921/VUAZ-7921																																																													
wm/concept/regulations	wm/concept/regulations	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	null		DOJO/WDI_other_taxes_of_revenue/other_taxes_of_revenue	DOJO/WDI_other_taxes_current_lcu/other_taxes_current_lcu	DOJO/UAZ_VUAZ-7921/VUAZ-7921																																																													
wm/concept/regulations_disguise	wm/concept/regulations wm/process/disguise	Regulatory Quality: Estimate	null		DOJO/WDI_cpia_social_protection_rating_1_low_to_6_high/cpia_social_protection_rating_1_low_to_6_high	DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no)	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C1: Security Apparatus																																																													
wm/concept/safety_net	wm/concept/safety_net	"Beans, dry (Area harvested, units = ha)"	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/WDI_subsidies_and_other_transfers_current_lcu/subsidies_and_other_transfers_current_lcu	DOJO/WDI_subsidies_and_other_transfers_of_expense/subsidies_and_other_transfers_of_expense																																																													
wm/concept/safety_net	wm/concept/safety_net	Emissions_Land_Use_Land_Use_Total_Net emissions/removals (CO2eq)	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/WDI_subsidies_and_other_transfers_current_lcu/subsidies_and_other_transfers_current_lcu	DOJO/WDI_subsidies_and_other_transfers_of_expense/subsidies_and_other_transfers_of_expense																																																													
wm/concept/safety_net_access	wm/concept/safety_net wm/process/access	Emissions_Land_Use_Land_Use_Total_Net emissions/removals (CO2eq)	DOJO/0411a8a6-16d6-4f33-9bd6-2cb5ba417118/Mobile Cellular Subscriptions (Per 100 People)		DOJO/WDI_automated_teller_machines_atms_per_100_000_adults/automated_teller_machines_atms_per_100_000_adults	DOJO/WDI_subsidies_and_other_transfers_of_expense/subsidies_and_other_transfers_of_expense	DOJO/WDI_subsidies_and_other_transfers_current_lcu/subsidies_and_other_transfers_current_lcu																																																													
wm/concept/security/economic_security	wm/concept/security/economic_security	C1: Security Apparatus	DOJO/28c0c874-9da6-43bd-aacb-c6fe6296d0a1/GDP Per Capita Growth (Annual %)		DOJO/OECD/general_government_revenues	DOJO/OECD/government_deficit	DOJO/OECD/unemployment_rate_total_labour_force																																																													
wm/concept/security/economic_security_recession	wm/concept/security/economic_security wm/concept/crisis_or_disaster/recession	C1: Security Apparatus	DOJO/FSI/E2: Economic Inequality		DOJO/WDI_cpia_economic_management_cluster_average_1_low_to_6_high/cpia_economic_management_cluster_average_1_low_to_6_high	DOJO/WDI_cpia_debt_policy_rating_1_low_to_6_high/cpia_debt_policy_rating_1_low_to_6_high	DOJO/WDI_interest_payments_of_revenue/interest_payments_of_revenue																																																													
wm/concept/security/economic_security_tension	wm/concept/security/economic_security wm/concept/crisis_or_disaster/conflict/tension	C1: Security Apparatus	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/E1: Economy	DOJO/WDI_cpia_debt_policy_rating_1_low_to_6_high/cpia_debt_policy_rating_1_low_to_6_high	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/E1: Economy																																																													
wm/concept/security/surveillance_system	wm/concept/security/surveillance_system	C1: Security Apparatus	DOJO/FSI/C1: Security Apparatus		DOJO/WDI_mobile_cellular_subscriptions/mobile_cellular_subscriptions	DOJO/WDI_mobile_cellular_subscriptions_per_100_people/mobile_cellular_subscriptions_per_100_people	DOJO/WDI_automated_teller_machines_atms_per_100_000_adults/automated_teller_machines_atms_per_100_000_adults																																																													
wm/concept/social_structure_or_relationship	wm/concept/social_structure_or_relationship	C1: Security Apparatus	DOJO/3cce6da3-9fc3-4250-811a-5e9c5a2d12f9/Estimated Total Number of People Per Grid-Cell at a Resolution of 30 arc seconds (approx 1km at the equator)		DOJO/WDI_cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high/cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high	DOJO/OECD/public_admin_defence_education_health_social_work	DOJO/WDI_subsidies_and_other_transfers_of_expense/subsidies_and_other_transfers_of_expense																																																													
wm/concept/time	wm/concept/time/	S2: Refugees And IDPs	null		DOJO/UAZ_VUAZ-7818/VUAZ-7818	DOJO/UAZ_VUAZ-7819/VUAZ-7819	DOJO/UAZ_VUAZ-7820/VUAZ-7820																																																													
wm/concept/time/delay	wm/concept/time/delay	FSI Rank	null		DOJO/UAZ_VUAZ-7822/VUAZ-7822	DOJO/UAZ_VUAZ-7815/VUAZ-7815	DOJO/UAZ_VUAZ-7818/VUAZ-7818																																																													
wm/concept/time/delay	wm/concept/time/delay	S2: Refugees And IDPs	null		DOJO/UAZ_VUAZ-7822/VUAZ-7822	DOJO/UAZ_VUAZ-7815/VUAZ-7815	DOJO/UAZ_VUAZ-7818/VUAZ-7818																																																													
wm/concept/time/delay	wm/concept/time/delay	null	null		DOJO/UAZ_VUAZ-7822/VUAZ-7822	DOJO/UAZ_VUAZ-7815/VUAZ-7815	DOJO/UAZ_VUAZ-7818/VUAZ-7818	0	Node Issue	N/A	1	Node Issue	N/A			0	Node Issue	N/A	2	Node Issue	N/A												"Vague/general concept. A specific delay could be measurable, but  the concept needs further specification. Note that a delay node occurs in NSC Election Delay CAG.  A human could infer from this that dely means election delay, but the system does not make inferences based on context. Note that there is a larger CAG likely formed by combining this CAG with others, and it  contains an ""election delay"" node and not a ""delay"" node.  Thus,  ambiguity and vagueness may have been reduced over the course of development. Also note that there is only a single indicator (""id"":""UAZ_VUAZ-8010"") whose dsiplay name and description that contain the word ""delay"": ""WDI: Delay in obtaining an electrical connection[days]""  This would be a reasonable match to the ""delay"" node concept taken out of context, but not if CAG context is taken into acount. "	University of Arizona Indicators 	WDI: Delay in obtaining an electrical connection[days]								"nothing good, but that's semi related; The UAZ returns are all ""time required to..."" type indicators, which given the vagueness of the node are not terrible"																									
wm/concept/trend	wm/concept/trend	Economic Effectiveness Score (ecoeff)	DOJO/2f2fa402-120c-426c-af02-ac32b6264f9f/Annual Mean Growing Season Length Anomaly (days)		DOJO/136ab3f7-a17c-43de-94a5-41741c535c81/Data_long_term_Average	DOJO/9b42f352-c67b-468d-bcd6-b10a5152e9f9/Data_long_term_Average	DOJO/03da0495-a43e-4939-823f-e8fc8bcbc36d/No_Smoothing																																																													
wm/concept/trend_prediction	wm/concept/trend wm/process/prediction	Economic Effectiveness Score (ecoeff)	DOJO/2f2fa402-120c-426c-af02-ac32b6264f9f/Annual Mean Growing Season Length Anomaly (days)		DOJO/65684ffe-b390-4ffd-9b88-44070b08e840/anomaly-pr-annual-mean	DOJO/fa2942ca-85a4-4fe3-926d-8fa688e7423b/anomaly-pr-monthly-mean	DOJO/03da0495-a43e-4939-823f-e8fc8bcbc36d/Lowess(5)																																																													
wm/concept/turnout_voter	wm/concept/turnout wm/concept/entity/people/voter	null	null		DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Population																																																													
wm/process/access	wm/process/access	Emissions_Land_Use_Land_Use_Total_Net emissions/removals (CO2eq)	DOJO/0411a8a6-16d6-4f33-9bd6-2cb5ba417118/Mobile Cellular Subscriptions (Per 100 People)		[Not concept node]	undefined	undefined																																																													
wm/process/access	wm/process/access	Food and Agriculture Organization of the United Nations (FAO) - Land Use Data	DOJO/0411a8a6-16d6-4f33-9bd6-2cb5ba417118/Mobile Cellular Subscriptions (Per 100 People)		[Not concept node]	undefined	undefined																																																													
wm/process/access	wm/process/access	Mobile Cellular Subscriptions (Per 100 People)	DOJO/0411a8a6-16d6-4f33-9bd6-2cb5ba417118/Mobile Cellular Subscriptions (Per 100 People)		[Not concept node]	undefined	undefined																																																													
wm/process/adapt	wm/process/adapt	Vulnerability Index	null		[Not concept node]	undefined	undefined																																																													
wm/process/aid_or_assistance	wm/process/aid_or_assistance	Geocoded Global Chinese Official Finance Dataset (Version 1.0.1) - Aid data only for 2000-2014 - From AidData (oda-like_flows.xlsx)	"DOJO/d25d510c-4ae5-4393-a952-d6cd6669f917/Total Damage (USD, Original)"		[Not concept node]	undefined	undefined																																																													
wm/process/aid_or_assistance	wm/process/aid_or_assistance	Security Effectiveness (seceff)	"DOJO/d25d510c-4ae5-4393-a952-d6cd6669f917/Total Damage (USD, Original)"		[Not concept node]	undefined	undefined																																																													
wm/process/aid_or_assistance_plan	wm/process/aid_or_assistance_plan	Security Effectiveness (seceff)	null		[Not concept node]	undefined	undefined																																																													
